Country_Code,Country_Name,Region,Sub_Region,Intermediate_Region,Confirmed,Recovered,Deaths,ConfirmedPerPpopulation,RecoveryRate,DeathRate,"School enrollment, tertiary (% gross)","School enrollment, secondary (% net)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth female (% of females ages 15-24)","Labor force, female (% of total labor force)","Labor force, total",Population ages 15-64 (% of total population),"Government expenditure on education, total (% of GDP)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Life expectancy at birth, total (years)",Prevalence of anemia among children (% of children under 5),Prevalence of undernourishment (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk),Net ODA Received (2014-2018),Net ODA Received (2018),Inflation (2015-2019),Inflation (2019),GDP (2015-2019),GDP (2019),Unemployment (2015-2019),Unemployment (2019),Happiness Score (2019),GDP per capita (2019),Social support (2019),Healthy life expectancy (2019),Freedom to make life choices (2019),Generosity (2019),Perceptions of corruption (2019),"Nurse and Midwives(per1,000People)","Physician(per1,000People)",OECD_Nurse(1000HAB),OECD_Doctor(1000HAB),Health Expenditure (% of GDP),Hospital_Bed_ACUTE(1000HAB),Hospital_Bed_ICU(1000HAB),Hospital_Bed_OTHER(1000HAB),HOSPITAL_BED_PSYCHIATRIC(1000HAB),HOSPITAL_BED_TOTAL(1000HAB),Health Care Index _2000,HealthCare_Rank_2000,Covid19_test_conducted_people tested,Covid19_test_conducted_samples tested,Covid19_test_conducted_tests performed,Covid19_test_conducted_units unclear
QAT,Qatar,Asia,Western Asia,,141858,139521,243,5.009,98.353,0.171,18.9489994,0,93.46396637,94.7115097,93.14446259,94.06990051,96.11466217,43.00031435,2124504,84.88093679,2.695349932,5.2,25.9,68.9,1.202,15.6,98,98,99,80.1,26.3,0,0,NA,NA,0.894944422,-0.666641125,63008.39833,64781.7332,0.132200001,0.090999998,6.374,1.684,1.313,0.871,0.555,0.22,0.167,7.2628,2.4852,NA,NA,2.607428655,NA,NA,NA,NA,NA,0.812,44,46082.844,NA,NA,NA
ROU,Romania,Europe,Eastern Europe,,587944,493379,14296,3.037,83.916,2.432,51.01253891,82.84805,98.84449768,98.59976959,99.10800934,99.41938019,99.43968201,48.57270354,8932844,65.63597608,3.095390081,4.2,3.6,92.2,13.5,6.9,88,90,90,75.35853659,26.8,2.5,0,NA,NA,1.530681373,3.827854326,10936.09765,12919.52964,5.160599947,3.976000071,6.07,1.162,1.232,0.825,0.462,0.083,0.005,7.3891,2.9807,NA,NA,5.157888308,5.2533,NA,NA,NA,NA,0.645,99,NA,NA,18943.833,NA
RUS,Russia,Europe,Eastern Europe,,2792615,2233060,49744,1.934,79.963,1.781,84.5842514,90.67886,99.73005676,99.73410797,99.72515869,99.64997101,99.7490921,51.67700606,73025684,66.75095023,4.689909935,4.8,7.8,87.4,12.4,6.1,97,97,98,72.65731707,25.7,2.5,3.2,NA,NA,6.721769194,4.470366608,10338.81069,11584.99538,5.154600048,4.585000038,5.648,1.183,1.452,0.726,0.334,0.082,0.031,8.5429,4.0139,8.46,4.09,5.344577879,NA,NA,NA,NA,8.05,0.544,130,NA,NA,55616.667,NA
RWA,Rwanda,Africa,Sub-Saharan Africa,Eastern Africa,7232,6089,59,0.057,84.195,0.816,6.235390186,35.87144,73.21559143,69.39453888,77.55879974,84.32592773,88.50182343,22.30160181,6362559,57.20571476,3.073750019,42.4,13.5,44,5.208,5.1,98,98,96,68.7,36.2,35.6,66.5,96.28999909,90.98321976,4.20634378,3.353342993,772.0008014,801.656187,1.073199987,1.029999971,3.334,0.359,0.711,0.614,0.555,0.217,0.411,1.2044,0.134,NA,NA,6.571598351,NA,NA,NA,NA,NA,0.327,172,NA,5365.642,NA,NA
SAU,Saudi Arabia,Asia,Western Asia,,360848,351722,6112,1.053,97.471,1.694,70.90087891,96.36052,95.32862854,92.7071991,97.10370636,99.32151794,99.28044128,30.36493855,14387604,71.72113141,0,10.6,16.3,73.2,3.472,15.8,96,97,95,74.998,37.8,4.8,0,NA,NA,0.56030545,-2.093333333,21557.947,23139.79866,5.819400024,5.927000046,6.375,1.403,1.357,0.795,0.439,0.08,0.132,5.4763,2.6117,NA,NA,5.23025319,NA,0.228,NA,NA,NA,0.894,26,NA,NA,30666.364,NA
SDN,Sudan,Africa,Northern Africa,,22621,13024,1425,0.053,57.575,6.299,16.91901016,0,60.6971817,56.06322861,65.43515015,72.51000214,73.48999786,40.39732345,12410692,56.21697663,0,35.2,12.6,52.2,7.188,22.1,93,93,90,65.095,57.2,12.4,40,21.05577939,NA,36.25960204,50.9940515,1077.248251,441.5056034,17.0067997,16.53499985,NA,NA,NA,NA,NA,NA,NA,0.6952,0.2618,NA,NA,6.341807544,NA,NA,NA,NA,NA,0.524,134,NA,NA,NA,NA
SEN,Senegal,Africa,Sub-Saharan Africa,Western Africa,17670,16493,361,0.108,93.339,2.043,13.1359396,37.66861,51.90042114,39.7985611,64.81227875,75.57640839,63.50270844,41.75454663,4255475,54.06165449,4.833280087,45.7,12.2,42.1,5.716,2.4,93,93,90,67.665,67.9,9.4,41.2,61.59927012,62.54368053,0.902040169,1.758565176,1352.654466,1446.830965,6.641799927,6.604000092,4.681,0.45,1.134,0.571,0.292,0.153,0.072,0.3127,0.0691,NA,NA,4.134063795,NA,NA,NA,NA,NA,0.756,59,NA,NA,1780.308,NA
SGP,Singapore,Asia,South-eastern Asia,,58403,58274,29,1.024,99.779,0.05,88.88645172,99.78462,97.34485626,95.91941071,98.85089874,99.91741943,99.94236755,48.60988414,3527065,75.27536737,0,22.7,3.7,73.6,5,5.5,96,96,95,83.14634146,16.9,0,0,NA,NA,0.105050818,0.565260569,60962.14425,65233.28244,4.039599991,4.109000206,6.262,1.572,1.463,1.141,0.556,0.271,0.453,6.2432,2.2936,NA,NA,4.440382868,1.9861,NA,NA,34.21,2.6766,0.973,6,3982.205,11537.761,NA,NA
SLB,Solomon Islands,Oceania,Melanesia,,17,5,0,0.003,29.412,NA,0,0,0,0,0,0,0,49.72922313,336195,56.23799123,0,22.2,8.8,68.9,4.252,19,94,94,81,72.835,42.9,13.2,0,305.995575,296.3125166,1.104606678,1.63485544,2045.03176,2127.538508,0.631599998,0.575999975,NA,NA,NA,NA,NA,NA,NA,2.1642,0.1937,NA,NA,4.684919119,NA,NA,NA,NA,NA,0.705,80,NA,NA,NA,NA
SLE,Sierra Leone,Africa,Sub-Saharan Africa,Western Africa,2497,1854,75,0.032,74.249,3.004,0,41.76675,43.20632935,34.85203171,51.6468811,70.57611084,62.69921875,41.95806151,2681359,56.32795207,7.702280045,57.9,8.9,33.2,11.745,2.4,95,95,93,54.309,77.3,26,59.2,99.05295211,66.12938692,13.32652455,14.80305857,525.4957202,504.4625434,4.513799953,4.427999973,4.374,0.268,0.841,0.242,0.309,0.252,0.045,0.2239,NA,NA,NA,13.42092752,NA,NA,NA,NA,NA,0,191,NA,NA,NA,NA
SLV,El Salvador,Americas,Latin America and the Caribbean,Central America,43195,39016,1242,0.669,90.325,2.875,29.37192917,61.83092,89.00859833,87.23413849,91.1023407,97.72744751,98.2106781,0,2789514,64.67197217,3.592420101,10.8,15.4,73.8,7.04,8.8,81,81,82,73.096,30.6,8.9,9.3,22.49982373,38.71358324,0.410134555,0.075324135,3935.347657,4187.250031,4.183400106,4.110000134,6.253,0.794,1.242,0.789,0.43,0.093,0.074,1.8344,1.5662,NA,NA,7.227560133,NA,NA,NA,NA,NA,0.608,115,NA,NA,8303.114,NA
SMR,San Marino,Europe,Southern Europe,,2107,1736,55,6.223,82.392,2.61,51.23123169,66.54351,99.91642761,99.90190887,99.93208313,100,100,23.20044659,0,0,3.592859983,0,0,0,7.1,5.9,88,87,86,0,0,0,0,NA,NA,0.588536976,NA,45091.97928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.364083081,NA,NA,NA,NA,NA,0.988,3,NA,NA,NA,NA
SOM,Somalia,Africa,Sub-Saharan Africa,Eastern Africa,4662,3566,124,0.03,76.491,2.66,0,0,0,0,0,0,0,44.49950914,3924821,50.73129052,0,64.2,11.9,23.9,10.855,5.1,42,42,46,57.068,55.8,0,0,96.58144803,104.8103591,NA,NA,NA,NA,11.4421999,11.35099983,4.668,0,0.698,0.268,0.559,0.243,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,179,NA,NA,NA,NA
SRB,Serbia,Europe,Southern Europe,,296528,0,2632,4.27,NA,0.888,67.7898407,92.06535,98.84150696,98.22827911,99.49970245,99.71523285,99.72467804,46.50370153,3218840,65.71855405,3.585390091,2.4,3,94.6,14.6,9,97,94,87,75.8902439,26.4,4.6,0.5,115.7290659,152.8956798,1.890961058,1.849229845,6454.84767,7402.354559,14.36259995,12.68599987,5.603,1.004,1.383,0.854,0.282,0.137,0.039,6.0855,3.1131,NA,NA,8.433958143,4.6412,NA,NA,NA,NA,NA,NA,28176.312,NA,NA,NA
SSD,South Sudan,Africa,Sub-Saharan Africa,Eastern Africa,3228,3090,62,0.029,95.725,1.921,0,5.48403,34.52275848,28.86425972,40.26480865,48.42514038,47.36920166,46.49362236,4678892,55.05514182,1.543900013,63.4,9.3,27.3,10.459,10.2,49,49,49,57.604,58,0,0,166.5390494,143.7054979,206.8380995,NA,1119.651333,NA,12.37980022,12.24400043,2.853,0.306,0.575,0.295,0.01,0.202,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.237,NA
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Middle Africa,1012,958,17,0.471,94.664,1.68,13.38451958,65.23344,92.81664276,89.51573181,96.16268158,97.71246338,97.85417938,38.11969588,71899,54.89314411,5.149069786,33.9,11.4,54.7,4.828,2.4,95,95,95,70.17,65.3,12,0,218.5415822,210.1142984,6.05875873,NA,1822.61036,1994.906467,13.33239994,13.36900043,NA,NA,NA,NA,NA,NA,NA,1.9242,0.0531,NA,NA,6.229991466,NA,NA,NA,NA,NA,0.535,133,NA,NA,NA,NA
SUR,Suriname,Americas,Latin America and the Caribbean,South America,5511,5263,118,0.948,95.5,2.141,0,57.78983,94.38327026,92.71205902,96.07404327,98.8754425,98.39996338,45.37803118,217284,66.07301349,0,13.3,10.7,75.9,7.335,12.5,77,77,64,71.57,34.3,8.1,0,27.99700241,22.65660434,28.1010782,NA,6517.293699,6854.906561,7.159599972,7.334000111,NA,NA,NA,NA,NA,NA,NA,2.7569,1.2101,NA,NA,6.229769811,NA,NA,NA,NA,NA,0.623,110,NA,NA,NA,NA
SVK,Slovakia,Europe,Eastern Europe,,149275,106361,1510,2.737,71.252,1.012,45.36722946,84.75751,0,0,0,0,0,46.22886734,2743160,68.29989227,3.939130068,4.8,6,89.2,10,6.5,97,97,96,77.26585366,26.1,6.1,0,NA,NA,1.129062874,2.664561334,17825.31392,19329.0968,8.275799847,5.56099987,6.198,1.246,1.504,0.881,0.334,0.121,0.014,6.0671,3.4156,5.7,3.52,6.742534786,4.91,NA,NA,0.81,5.82,0.754,62,NA,NA,17990.518,NA
SVN,Slovenia,Europe,Southern Europe,,105013,82541,2314,5.029,78.601,2.204,77.11312103,95.68577,0,0,0,0,0,47.7316029,1034477,64.70807551,4.783239841,5,6.6,88.4,9.9,5.9,95,0,94,81.37804878,26.9,2.5,0,NA,NA,0.843537367,1.630522608,23559.77792,25739.24781,6.565799999,4.195000172,6.118,1.258,1.523,0.953,0.564,0.144,0.057,9.9745,3.0861,10.14,3.18,8.18701759,4.2035,NA,NA,0.66,4.5,0.838,38,NA,NA,22689.651,NA
SWE,Sweden,Europe,Northern Europe,,367120,0,7993,3.569,NA,2.177,72.46116638,99.06336,0,0,0,0,0,47.87388464,5470074,62.17594015,7.568830013,5.2,4.9,89.9,9.1,4.8,98,97,97,82.55853659,12.3,2.5,0,NA,NA,1.293933964,1.784150974,52700.25519,51610.06606,6.792399979,6.475999832,7.343,1.387,1.487,1.009,0.574,0.267,0.373,11.8164,3.984,10.88,4.27,11.01874635,2.04,NA,NA,0.43,NA,0.908,23,NA,NA,NA,NA
SWZ,Eswatini,Africa,Sub-Saharan Africa,Southern Africa,7305,6662,137,0.636,91.198,1.875,0,41.69996,88.41938019,88.54268646,88.2875824,94.29769135,96.69525146,0,374768,58.1537805,0,53.7,9.6,36.7,9.376,4.5,90,90,81,59.401,42,16.9,21.3,106.1521446,105.2375874,5.286594539,2.598016203,3814.660895,3837.026994,22.63100014,22.08300018,4.212,0.811,1.149,0,0.313,0.074,0.135,4.1415,0.3285,NA,NA,6.930378079,NA,NA,NA,NA,NA,0.305,177,NA,NA,NA,NA
SYC,Seychelles,Africa,Sub-Saharan Africa,Eastern Africa,202,184,0,0.207,91.089,NA,19.17317009,80.06115,95.8677063,96.35019684,95.41175842,98.55999756,99.59999847,16.465988,0,68.45578531,4.421020031,11.9,7.3,80.8,8.5,12.3,99,99,99,72.84146341,35,0,2.2,108.4477656,NA,2.278457587,1.8061116,15902.51842,17401.72151,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0773,2.1212,NA,NA,5.006735027,NA,NA,NA,NA,NA,0.773,56,NA,NA,NA,NA
SYR,Syria,Asia,Western Asia,,10050,4737,601,0.059,47.134,5.98,40.05115128,0,0,0,0,0,0,0,5191550,64.25011284,0,5.1,49.8,45.1,5.373,13.5,54,54,59,71.779,34.9,0,17,441.64971,590.9530979,NA,NA,NA,NA,8.397800064,8.369999886,3.462,0.619,0.378,0.44,0.013,0.331,0.141,1.5406,1.2874,NA,NA,NA,NA,NA,NA,NA,NA,0.628,108,NA,NA,NA,NA
TCD,Chad,Africa,Sub-Saharan Africa,Middle Africa,1867,1632,102,0.012,87.413,5.463,3.251300097,18.8551,22.31155014,13.95522976,31.32879066,40.69289017,22.38714981,43.17952405,5995556,50.68741364,2.454819918,63.4,9.3,27.3,12.104,6,50,50,41,53.977,73.3,39.6,57.1,42.84671021,56.55860625,1.070053861,-0.971939175,714.2214925,709.5403101,1.853200006,1.891000032,4.35,0.35,0.766,0.192,0.174,0.198,0.078,0.2322,0.0434,NA,NA,4.487301409,NA,NA,NA,NA,NA,0.303,178,NA,NA,NA,NA
TGO,Togo,Africa,Sub-Saharan Africa,Western Africa,3396,2974,66,0.042,87.574,1.943,14.01836967,41.01339,63.74562073,51.24177933,77.25942993,89.67247009,78.37084961,45.60077052,3700152,56.11429871,5.369569778,51.7,10.7,37.6,8.446,2.4,84,84,75,60.76,71,20.7,59.6,32.29821379,37.57339099,0.898194141,0.67465277,629.7941494,675.5422133,2.124399996,2.038000107,4.085,0.275,0.572,0.41,0.293,0.177,0.085,0.4102,0.0774,NA,NA,6.199512258,NA,NA,NA,NA,NA,0.449,152,NA,NA,1859.242,NA
THA,Thailand,Asia,South-eastern Asia,,4907,4041,60,0.007,82.352,1.223,49.28681183,77.27069,93.76776123,92.42855835,95.20239258,97.69087982,98.59393311,37.35673222,38989896,70.77021345,0,15.8,10.2,74,7.666,7,97,97,96,76.931,28.3,9.3,6.3,1.370868451,-6.095909672,0.344796555,0.706728601,6706.172287,7808.192916,0.726999998,0.754000008,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2.7593,0.805,NA,NA,3.746016324,NA,0.104,NA,NA,NA,0.807,47,NA,NA,2696.406,NA
TJK,Tajikistan,Asia,Central Asia,,12923,12374,89,0.139,95.752,0.689,31.25655937,0,0,0,0,0,0,40.9847157,2464790,59.84295921,5.231389999,23.2,7.6,69.2,4.856,6.1,97,97,98,70.879,31.3,0,57.1,43.29658616,43.68169747,5.85957016,NA,847.0129108,870.7875893,11.26860027,11.0170002,5.467,0.493,1.098,0.718,0.389,0.23,0.144,NA,NA,NA,NA,7.228814811,NA,NA,NA,NA,NA,0.428,154,NA,NA,NA,NA
TLS,Timor-Leste,Asia,South-eastern Asia,,31,35,0,NA,NA,NA,0,62.73563,68.0668335,64.2109375,71.86872101,82.45848083,84.6505127,20.20185854,546036,58.42138272,6.792950153,45.6,9,45.4,5.995,6.7,83,83,85,69.26,61.4,30.9,55.4,183.9272284,159.7669364,0.601986203,NA,1303.774159,1294.188934,4.539799976,4.547999859,NA,NA,NA,NA,NA,NA,NA,1.668,0.7224,NA,NA,3.882293403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,6974,6426,123,0.5,92.142,1.764,0,0,0,0,0,0,0,26.31845627,666923,68.62061129,0,9,10.3,80.7,8.375,11,93,93,99,73.38,32.1,5.5,0,NA,NA,2.657709277,NA,17022.24469,17276.46545,2.61500001,2.686000109,6.192,1.231,1.477,0.713,0.489,0.185,0.016,4.0934,4.1675,NA,NA,6.978735328,NA,NA,NA,NA,NA,0.742,67,2692.755,NA,NA,NA
TUN,Tunisia,Africa,Northern Africa,,119151,87884,4126,1.019,73.759,3.463,31.84726906,0,0,0,0,0,0,32.97648049,4087299,67.18043418,6.596010208,7.8,6.4,85.8,6.262,8.5,92,92,95,76.505,28.8,2.5,2.6,65.1187594,69.62869133,5.480657226,6.720075329,3559.435641,3317.541013,15.51839981,16.02199936,4.461,0.921,1,0.815,0.167,0.059,0.055,2.5136,1.3025,NA,NA,7.232457399,NA,NA,NA,NA,NA,0.785,52,NA,NA,1068.211,NA
TUR,Turkey,Asia,Western Asia,,2004285,1779068,17851,2.402,88.763,0.891,113.2170715,87.22819,96.15052795,93.49826813,98.81996155,99.90791321,99.58643341,0,33368843,66.9828933,0,4.4,6.2,89.4,5.412,11.1,99,99,97,77.437,28,2.5,1.8,34.06772397,14.42278924,11.61991687,15.17682157,10139.13524,9042.492983,11.25480003,13.48999977,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2.7107,1.8492,2.34,1.88,4.216302931,2.7815,NA,NA,0.05,2.81,0.734,70,NA,NA,21126.28,NA
TZA,Tanzania,Africa,Sub-Saharan Africa,Eastern Africa,509,183,21,0.001,35.953,4.126,3.092499971,26.54777,77.88722992,73.09382629,83.20484924,87.01309967,84.64080048,49.31740475,27170342,53.53565232,3.696439981,55.8,11.2,32.9,6.419,5.7,89,89,88,65.015,55.2,25,61.2,47.56160201,43.56058189,4.608078189,3.46428058,1020.473123,1122.12181,2.03659997,1.980000019,3.231,0.476,0.885,0.499,0.417,0.276,0.147,0.5843,0.014,NA,NA,3.645451367,NA,NA,NA,NA,NA,0.422,156,NA,NA,NA,NA
UGA,Uganda,Africa,Sub-Saharan Africa,Eastern Africa,30702,10360,230,0.069,33.744,0.749,0,0,76.52749634,70.83805847,82.65601349,88.82689667,89.95063782,47.16749886,16658774,51.53743447,2.130520105,54.5,12.7,32.9,6.554,2.5,93,93,87,62.973,51.1,0,75.1,45.16188373,45.42737482,4.397952841,2.86909425,772.417971,776.7685759,1.814799976,1.843000054,4.189,0.332,1.069,0.443,0.356,0.252,0.06,1.2382,0.168,NA,NA,6.187755987,NA,NA,NA,NA,NA,0.464,149,NA,1389.336,NA,NA
UKR,Ukraine,Europe,Eastern Europe,,982937,596218,17072,2.215,60.657,1.737,0,0,0,0,0,0,0,42.21242676,20203893,67.35529124,5.412260056,4.1,5,91,14.8,6.1,80,76,93,71.58268293,26,3.5,2.4,30.13135789,27.36510691,19.1778942,7.886717456,2741.783444,3659.031312,9.136200142,8.881999969,4.332,0.82,1.39,0.739,0.178,0.187,0.01,NA,NA,NA,NA,6.99532032,NA,NA,NA,NA,NA,0.708,79,NA,NA,7768.631,NA
URY,Uruguay,Americas,Latin America and the Caribbean,South America,12557,8002,114,0.363,63.725,0.908,63.12577057,88.21273,98.70385742,99.00773621,98.37136078,98.60475159,99.16599274,46.03127448,1762838,64.60068856,5.047589779,7.6,7.5,84.9,9.467,7.3,94,94,96,77.77,23.1,2.5,1.7,12.77911818,NA,8.002459897,7.881988709,16358.23055,16190.12696,8.05720005,8.730999947,6.293,1.124,1.465,0.891,0.523,0.127,0.15,1.9412,5.0794,NA,NA,9.2962116,NA,NA,NA,NA,NA,0.745,65,NA,NA,10702.783,NA
USA,United States,Americas,Northern America,,17665284,0,316159,NA,NA,NA,88.29917908,92.45022,0,0,0,0,0,40.83425838,165890069,65.24107673,0,5.2,6.6,88.3,8.6,10.8,94,91,90,78.53902439,8.5,2.5,0.3,NA,NA,1.553022743,1.812210075,60533.22802,65118.35833,4.416400003,3.681999922,6.892,1.433,1.457,0.874,0.454,0.28,0.128,14.548,2.612,11.89,2.61,17.06126928,2.48764,0.302904,0.242003,0.21975,NA,0.838,37,NA,NA,55625.288,57760.42
UZB,Uzbekistan,Asia,Central Asia,,75806,73099,612,0.226,96.429,0.807,12.5820303,90.85635,99.9928894,99.98587036,99.99997711,99.99993134,99.99992371,40.60272426,15555948,66.60697097,5.281340122,10.3,6,83.7,4.7,6.5,96,96,98,71.573,36.6,2.6,0,15.52262969,16.8678947,NA,NA,2052.663052,1724.841134,5.558599949,5.916999817,6.174,0.745,1.529,0.756,0.631,0.322,0.24,NA,NA,NA,NA,6.41438514,NA,NA,NA,NA,NA,0.599,117,NA,NA,NA,NA
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,100,82,0,NA,NA,NA,23.66991997,89.47196,0,0,0,0,0,39.11532009,56676,68.06553997,5.693779945,13.4,5.6,81,9.263,11.6,97,97,99,72.415,32.9,5.7,0,112.7618623,159.0599826,0.648556936,NA,7206.768574,7463.537831,19.06780014,18.88100052,NA,NA,NA,NA,NA,NA,NA,7.0145,NA,NA,NA,4.487125203,NA,NA,NA,NA,NA,0.722,74,NA,NA,NA,NA
VEN,Venezuela,Americas,Latin America and the Caribbean,South America,109781,104208,984,0.385,94.924,0.896,0,73.24477,97.12709045,97.21370697,97.03910828,98.44194031,99.0925827,0,12364879,64.98478442,0,11.3,19.2,69.5,6.982,7,64,64,93,72.128,30,31.4,10.9,2.431657733,5.096259477,188.34331,NA,NA,NA,7.629999924,8.800999641,4.707,0.96,1.427,0.805,0.154,0.064,0.047,0.9416,NA,NA,NA,1.181210112,NA,NA,NA,NA,NA,0.775,54,NA,NA,NA,NA
VNM,Vietnam,Asia,South-eastern Asia,,1411,1269,35,0.001,89.936,2.481,28.63998032,0,95.00038147,93.59671021,96.45677948,98.46012115,98.35314178,43.58429302,57364650,69.23249944,4.167449951,11.5,11.3,77.2,6.317,6,89,89,95,75.317,33.9,6.4,27.4,30.73703384,17.0959098,2.631031539,2.795823675,2384.962135,2715.276036,2.053399992,2.013000011,5.175,0.741,1.346,0.851,0.543,0.147,0.073,1.4463,0.8281,NA,NA,5.532128364,NA,NA,NA,NA,NA,0.393,160,NA,385.366,NA,NA
VUT,Vanuatu,Oceania,Melanesia,,1,1,0,0,100,NA,0,48.94452,87.50630951,86.70609283,88.30635071,95.97657013,96.59661102,38.8508119,128427,57.67335152,4.533530235,18.8,7,74.1,5.266,11.9,90,90,80,70.323,28.3,9.8,15.6,483.6806829,422.9875736,2.300669615,2.762520194,2985.583408,3058.065675,4.456999969,4.385000229,NA,NA,NA,NA,NA,NA,NA,1.4247,0.1653,NA,NA,3.316853195,NA,NA,NA,NA,NA,0.559,127,NA,NA,NA,NA
WSM,Samoa,Oceania,Polynesia,,2,2,0,0.001,100,NA,14.64204979,85.51776,99.09577179,99.24504089,98.95609283,98.84150696,99.43575287,0,53500,57.20279862,4.162220001,12,7,81,5.239,9.2,58,58,87,73.187,43,2.5,0,537.6833004,586.5497421,1.791774212,0.98232657,4188.129224,4315.920675,8.469600105,8.359000206,NA,NA,NA,NA,NA,NA,NA,2.4885,0.3445,NA,NA,5.482785776,NA,NA,NA,NA,NA,0.589,119,NA,NA,NA,NA
YEM,Yemen,Asia,Western Asia,,2087,1384,606,NA,NA,NA,0,47.59088,0,0,0,0,0,45.37780878,6734980,57.8744844,0,28.7,14.7,56.6,5.983,5.4,73,73,67,66.096,83.5,0,92,118.6498376,280.1960741,NA,NA,1069.931871,NA,13.15320015,12.90999985,3.38,0.287,1.163,0.463,0.143,0.108,0.077,0.7852,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587,120,NA,NA,NA,NA
ZAF,South Africa,Africa,Sub-Saharan Africa,Southern Africa,912477,787782,24539,1.558,86.334,2.689,23.80195999,71.92661,87.04666901,86.45863342,87.67774963,93.75608826,96.87589264,48.32576165,23300226,65.61641934,6.505050182,39.6,9.1,51.3,9.435,12.7,77,77,72,63.857,36.8,5.7,27.1,20.00628786,15.83274459,4.982764629,4.124350725,5903.092181,6001.400814,26.77579994,28.18099976,4.722,0.96,1.351,0.469,0.389,0.13,0.055,1.3078,0.9054,1.31,NA,8.113118261,NA,NA,NA,NA,NA,0.319,175,11209.761,NA,NA,NA
ZMB,Zambia,Africa,Sub-Saharan Africa,Eastern Africa,18620,17756,373,0.104,95.36,2.003,0,0,86.74796295,83.08344269,90.60118103,92.55963898,91.62818909,50.88757102,7401485,53.42217666,4.618090153,60.6,10.2,29.2,6.456,4.5,88,88,93,63.51,54.2,0,0,58.58912644,57.16229657,10.24050458,9.150316443,1400.183644,1291.343357,11.10760002,11.42500019,4.107,0.578,1.058,0.426,0.431,0.247,0.087,1.3376,1.1867,NA,NA,4.47034128,NA,NA,NA,NA,NA,0.269,182,NA,NA,1649.091,NA
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Eastern Africa,12151,9984,318,0.083,82.166,2.617,10.00654984,0,0,0,0,NA,0,NA,7039493,54.86126493,5.871349812,54.6,12.3,33,7.883,1.8,90,90,85,61.195,41.7,0,0,53.12368489,54.96287804,-1.022059888,NA,1521.110227,1463.98591,5.152799988,4.953999996,3.663,0.366,1.114,0.433,0.361,0.151,0.089,1.9346,0.2096,NA,NA,NA,NA,NA,NA,NA,NA,0.427,155,NA,NA,1248.859,NA
